,de_score,de_abs,pca_score,nmf_score,hub_degree,de_abs_norm,pca_score_norm,nmf_score_norm,hub_degree_norm,composite_score
200628_s_at,,,0.03455402952366016,0.935093517076662,,0.0,0.44443604739431125,0.7591331696729232,0.0,0.30089230426680863
214722_at,,,0.0358991734956197,0.9222471988699966,,0.0,0.4625890448886069,0.740974824846438,0.0,0.3008909674337612
215394_at,,,0.0301938969135322,0.9766814783681442,,0.0,0.38559515155239754,0.8179179926558562,0.0,0.30087828605206346
211901_s_at,,,0.0339770660124193,0.940535663166126,,0.0,0.43664980488630833,0.7668256745368711,0.0,0.30086886985579486
201761_at,,,0.0316500401548224,0.9627229014949776,,0.0,0.4052461072578821,0.7981874637936294,0.0,0.30085839276287785
203284_s_at,,,0.032035903590152605,0.95902770061312,,0.0,0.41045341452067685,0.7929642760493707,0.0,0.3008544226425119
217695_x_at,,,0.032515265679734,0.9544391490976496,,0.0,0.4169225055566014,0.7864783320355619,0.0,0.30085020939804086
208799_at,,,0.0369526623087405,0.9120290651360752,,0.0,0.47680609539286745,0.7265314339200467,0.0,0.30083438232822857
207404_s_at,,,0.0321257311100296,0.9581037609140772,,0.0,0.4116656555723692,0.7916582819595315,0.0,0.3008309843829752
204435_at,,,0.0458535238293057,0.8270222038477371,,0.0,0.5969250716869176,0.6063737455412906,0.0,0.30082470430705205
218398_at,,,0.017475031469864302,1.0979279557919706,,0.0,0.21395141873111173,0.9893005873136905,0.0,0.30081300151120055
215477_at,,,0.0303464393214141,0.9750195254441426,,0.0,0.38765374305321665,0.815568812618906,0.0,0.3008056389180307
200608_s_at,,,0.046277681553021706,0.8229163929545421,,0.0,0.6026491683310754,0.6005701581794043,0.0,0.30080483162761995
209386_at,,,0.034014925041906105,0.939968179057342,,0.0,0.43716072035835946,0.7660235324783391,0.0,0.3007960632091746
218248_at,,,0.0271528038137828,1.0054029277659482,,0.0,0.34455496806984387,0.8585159269193223,0.0,0.30076772374729155
214447_at,,,0.0260451140637892,1.0159677320687277,,0.0,0.3296064646566378,0.8734493386928738,0.0,0.3007639508373779
210505_at,,,0.028453341656361802,0.9929743309980692,,0.0,0.362105996576615,0.8409480337541515,0.0,0.30076350758269166
211312_s_at,,,0.028049357350881498,0.9967972073696264,,0.0,0.3566541444046608,0.8463516915389744,0.0,0.3007514589859088
213591_at,,,0.0318667923948827,0.9603121955974993,,0.0,0.40817122379017845,0.7947799171131383,0.0,0.30073778522582917
216263_s_at,,,0.0246506377995224,1.0291490261891714,,0.0,0.3107877176237727,0.8920811739041602,0.0,0.3007172228819832
